Name,Chemical Name (IAPUC),Chemical Formula,MW,SMILES
HZ-155,"(S)-2-((prolyloxy)methyl)propane-1,3-diyl didodecanoate",C33H61NO6,567.85,O=C(OCC(COC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O)[C@H]1NCCC1
HZ-161,3-(oleoyloxy)-2-((stearoyloxy)methyl)propyl L-prolinate,C45H83NO6,734.16,O=C(OCC(COC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)[C@H]1NCCC1
HZ-104,"2-(((L-methionyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C45H79NO6S,762.19,CSCC[C@H](N)C(OCC(COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
HZ-108,"2-(((L-methionyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C45H79NO6S, 762.19,CSCC[C@H](N)C(OCC(COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
HZ-242,"3-((L-methionyl)oxy)-2-((stearoyloxy)methyl)propyl (9Z,12Z)-octadeca-9,12-dienoate",C45H83NO6S,766.22,CSCC[C@H](N)C(OCC(COC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
HZ-244,"3-((dimethyl-L-methionyl)oxy)-2-((stearoyloxy)methyl)propyl (9Z,12Z)-octadeca-9,12-dienoate",C47H87NO6S,794.27,CSCC[C@H](N(C)C)C(OCC(COC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
HZ-108,"3-((L-methionyl)oxy)-2-((2-((3S,5S,7S)-adamantan-1-yl)acetoxy)methyl)propyl (9Z,12Z)-octadeca-9,12-dienoate",C39H65NO6S,676.01,CSCC[C@H](N)C(OCC(COC(CC(C1)(C2)C[C@@H]3C[C@H]2C[C@H]1C3)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
HZ-126,"2-(((L-methionyl)oxy)methyl)propane-1,3-diyl dioleate",C45H83NO6S,766.22,CSCC[C@H](N)C(OCC(COC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)=O
HZ-194,"2-(((L-methionyl)oxy)methyl)propane-1,3-diyl didodecanoate",C33H63NO6S,601.93,CSCC[C@H](N)C(OCC(COC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O)=O
HZ-187,"1,3-bis(didodecylamino)propan-2-yl L-methioninate",C56H115N3O2S, 894.62,N[C@@H](CCSC)C(OC(CN(CCCCCCCCCCCC)CCCCCCCCCCCC)CN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O
HZ-212,dodecyl didodecyl-L-argininate,C42H86N4O2,679.18,NC(NCCC[C@H](N(CCCCCCCCCCCC)CCCCCCCCCCCC)C(OCCCCCCCCCCCC)=O)=N
HZ-237,dodecyl di((Z)-hexadec-11-en-1-yl)-L-argininate,C50H98N4O2,787.36,NC(NCCC[C@H](N(CCCCCCCCCC/C=C\CCCC)CCCCCCCCCC/C=C\CCCC)C(OCCCCCCCCCCCC)=O)=N
HZ-226,methyl didodecyl-L-argininate,C31H64N4O2,524.88,NC(NCCC[C@H](N(CCCCCCCCCCCC)CCCCCCCCCCCC)C(OC)=O)=N
HZ-248,methyl di((Z)-hexadec-11-en-1-yl)-L-argininate,C39H76N4O2,633.06,NC(NCCC[C@H](N(CCCCCCCCCC/C=C\CCCC)CCCCCCCCCC/C=C\CCCC)C(OC)=O)=N
HZ-233,"dodecyl di((9Z,12Z)-octadeca-9,12-dien-1-yl)-L-argininate",C54H102N4O2,839.44,NC(NCCC[C@H](N(CCCCCCCC/C=C\C/C=C\CCCCC)CCCCCCCC/C=C\C/C=C\CCCCC)C(OCCCCCCCCCCCC)=O)=N
HZ-238,dodecyl didecyl-L-argininate,C38H78N4O2,623.07,NC(NCCC[C@H](N(CCCCCCCCCC)CCCCCCCCCC)C(OCCCCCCCCCCCC)=O)=N
HZ-249,"methyl di((9Z,12Z)-octadeca-9,12-dien-1-yl)-L-argininate",C43H80N4O2,685.14,NC(NCCC[C@H](N(CCCCCCCC/C=C\C/C=C\CCCCC)CCCCCCCC/C=C\C/C=C\CCCCC)C(OC)=O)=N
HZ-253,methyl didecyl-L-argininate,C27H56N4O2,468.77,NC(NCCC[C@H](N(CCCCCCCCCC)CCCCCCCCCC)C(OC)=O)=N
KB-1,(R)-1-(diethylamino)undecan-2-ol,C15H33NO,243.44,CCN(C[C@H](CCCCCCCCC)O)CC
KB-2,(S)-1-(diethylamino)undecan-2-ol,C15H33NO,243.44,CCN(C[C@@H](CCCCCCCCC)O)CC
KB-3,(R)-1-(diethylamino)undecan-2-ol,C16H35NO,257.46,CCN(C[C@H](CCCCCCCCCC)O)CC
KB-4,(S)-1-(diethylamino)dodecan-2-ol,C16H35NO,257.46,CCN(C[C@@H](CCCCCCCCCC)O)CC
KB-5,(R)-1-(diethylamino)dodecan-2-ol,C18H39NO,285.52,CCN(C[C@H](CCCCCCCCCCCC)O)CC
